id,count
e7eea2df-94aa-4b68-9338-5d7e5bd684f1,73
eac8f674-856c-4f6c-9ee4-10c0ed1578bf,31
0b624fe8-5777-4555-821d-600f52ade4a4,7
43607b76-8504-4738-b696-628ca8de8455,9
93df61e6-b506-462c-a083-2f001fcf3a9a,4
8361f011-8c98-45a9-aba8-84f6812a9eca,4
ed73ac10-bd6a-42d1-b361-f43293704a38,43
f769dfaf-e353-4105-b244-445594081553,13
fbcda68b-3840-4c08-b587-c8d64b56ab31,13
61466114-e3ff-4d24-8fcd-3cc2e533dfec,25
3be6b05c-aedb-4336-8827-cfda58f95eca,13
ba73c036-01cd-4667-ac8b-b8857d14b425,19
6f173aa8-c002-4d71-87ff-427e89fe2507,13
ff18d389-0e63-4d0c-b29b-98ad5897598f,25
e1d62082-2bad-4231-9f9e-503bfe5bbdd1,13
fe6257ad-4279-4ca1-a9e6-9a1d30bbae61,35
77ce6f13-fd9b-435a-9c26-025d51bf7446,10
c799d146-a02a-411c-9bb7-0c0f367cf2bf,157
14ed6447-3f1a-4a4b-84bf-25c7712e667d,37
8c1a8d85-46a8-4422-af8a-2d5b9eec8bf5,64
e7785b76-9bce-4c6e-801c-09b3c2fd531f,34
af0701ee-0f48-4e65-99b3-58c459c75dd4,57
0b62a223-6b30-4f39-bb68-a25e018d18c9,55
aefd0297-a6dc-40e1-8515-855a861bca96,39
7292f257-5759-476b-be83-bcf36ad56f1d,5
ab1d0c5e-6cfc-4986-bdd8-f7a30f3c1c6f,17
db8f06fc-d248-4614-b1e4-07e42a980e1a,106
a7257aa8-5ebe-4e11-bf47-27c47f20112c,40
ce6145c3-5445-4ccd-a9e3-f331d2d66403,67
22a24ea4-bd89-47ee-b575-4c6adb820a1b,4
c3c4459a-160b-4986-97d2-1394008ca839,9
5aebef1e-1adf-4c2e-950a-e9a7ed7d8068,40
13c6480c-872a-4217-9f8d-b2505927c9c7,7
65d2c8ac-8ba9-4788-a2f4-2084b4874ba8,13
b03be492-7f9b-4e6d-9d9f-8708743d8c08,7
e20bccbf-ad6e-4679-838d-79ed5eea0aff,73
20d262fc-0192-42a3-b8cd-8ad4a0cf220d,50
