id,count
84c8cbfd-6dcf-4df1-b4f0-f22f6c54166e,13
b44fb1b9-2b11-4457-95e9-822a2b4ec6b8,161
ee2fa988-ef19-4c30-b55c-9659f238e27c,177
c0a1d4e6-090a-449e-b4e8-4de030e2b98e,25
4dbd1b95-417d-4f11-a967-013f3749fafc,9
cdc581ef-5668-43c3-a2b7-7ad77f33e351,161
b9068157-ffdd-459c-9d34-cc00a448bc2a,13
d8232ac4-b26f-4a9c-9809-d7ed5fd080ed,161
16f46209-7642-4d82-a3cb-51507707ab42,9
b464b04f-ae90-4324-837b-a6eb9e302349,25
c06d1222-974e-4bf7-9a97-58b2f070c04d,177
2436fe97-2608-4842-a8ea-e64fb13be625,9
031ed540-f817-498c-a428-c3ce23df7255,241
0f305673-900b-41cf-8a30-3d3c3fb36177,17
c8ae8c2f-aa3a-4e6e-aa28-b3a4beec1563,13
486385bd-adf4-4fe4-829b-1c202f623723,9
f2ea88ca-e615-4446-b0bf-8c828469b7ed,13
