id,count
356c0684-4e6b-4852-aafd-812c011f2947,29
75cbcdf4-3ac2-4462-a851-0c72f474d10f,3
2a963cd2-66c4-40a8-83da-04795c41d0ed,10
47bd0e36-8c9e-4c2c-93da-b4b39094668a,7
35473b33-9f00-4169-83bb-5ab818508a30,7
22400b67-fa9f-4926-ab26-3d58ceb5a9fe,26
1edc1dab-0aee-48d9-b1a3-2e5f7e0bc2a5,5650
1e828aeb-be9a-4a07-8100-65e055471964,4
ccd016e8-46a7-4fc5-855d-1aeb3b43c0a2,4
797427ff-fcd3-4a32-adf7-0c8fa344d47a,3
919fec1a-ca4c-451f-ab55-1348f2197e14,85
06faedca-b09d-4608-afa0-3daa32318ef1,7
789e2730-3805-49e7-9673-1b76d7bbe05d,27
9a7fef90-66fe-41f0-b066-3235270f16e3,3
533b94f0-9bdc-492e-98ed-0219bf75077a,35
e7933724-653d-4ce6-ab25-1198bde00485,483
4a5a6422-a72d-4b9a-a140-4e1bf5fa84af,20
fbb7892b-6de9-4b44-b978-120ac0297c27,5
f5ec367a-d572-4c24-8e9c-b7315d401aa6,3
ce119d60-6026-4c75-b519-6797dc2d4b1f,3
71540b1f-2139-42bc-935c-8ce1f007f54b,6
e435a575-aa6a-44a8-b519-8085b86bf3bd,33
45cde08a-c535-47f5-957c-a5cd80dd80ad,4
82e4df51-36d2-4818-97f4-fec2d489da42,5
d90e4239-4b9a-472b-9019-a29f00a27151,5
6662aa3e-3924-4775-818e-319186e9717e,3
c9636b88-e72e-4ce7-8bfd-57bbbaa8b65b,17
2a025b8e-4951-4844-b8c0-42cdb609e687,7
100ad200-c3d0-4bd7-a9e8-dbc5e8ca186b,16
448f0428-71b8-4d10-a6ff-402d958f2ce5,5
e9006781-a87d-4ac1-9a75-87e89b439320,3
c283fe79-6120-4387-b45e-7c5d3de3a6d4,4
2139e7db-b323-4df6-8b73-28a3dd98f8a3,13
3939b558-0d5f-4c93-af33-709d95ee3dcc,3
a03745be-8b7a-4ee1-9707-cfeb83cd9145,4
531f16c3-dcaf-4d6d-8982-65822f682a70,7
11bd60ef-126a-4e80-8b09-7f7579083b00,3
aade0313-6c70-4321-8147-6204c0920ef8,7
78af47f6-44c1-4402-af13-d03c1bad89f6,7
49adcbf1-30e9-4a98-a591-9adcc19f41e9,4
a157dd01-d68d-4a17-9ae3-c7b5a203d05f,15
b154a260-9d05-48f2-b1c9-d6f7c3d29295,26
0876f438-96a7-4f2a-a76d-41088558bd7d,4
c3d78151-0c11-4fba-af96-10d0537af0c3,4
b03be492-7f9b-4e6d-9d9f-8708743d8c08,131
106a7b27-3e8c-40b8-88de-dabc0688e332,57
cff2f74c-25eb-4a60-9f62-8ce4319f34c0,3
f25728d0-2c61-47d2-9f1b-0cdd648fe42f,208
e5605357-1517-483b-9f48-0c25ba6ed106,4
c0b0eed5-8111-4a10-b369-1155f6228369,4
c389d806-c62d-4433-966e-c7e1abe77022,9
b46b9a9d-105e-4d91-83c3-2f733bcf4f4e,7
16100db0-a7f4-445f-86c4-292819676e6c,3
90620ee1-dadc-4443-9e65-eb668f85e209,2
679e2b2b-3154-4511-87f8-1f64ab368b03,3
7a432208-9bf1-45f1-b8ee-ea18296780f4,3
b9715ae8-7326-4530-9818-80cbfbc37f34,9
f862736d-7a04-47ce-b1d0-880e40c715f6,4
f3d6e96d-86e8-4f25-9f0a-c9476981fd8c,7
ae93f775-ce37-4743-9345-279d21c59bb6,3
64569a32-b538-4155-833d-6ce541deb6d3,13
5b8c8e9f-5d16-4c33-af16-1549acb77402,4
d2e94f63-7f70-430d-a74c-b9a387a92c17,3
3649e31e-771d-4553-a9d1-f614cc197595,8
e07555e3-34e2-44b5-86e9-96d71d636827,3
0c952c12-16ef-438d-8fba-e10d17e97395,22
