id,count
bfe0adef-d0de-48de-8e2d-044736115cef,323
33c55c70-6e82-4c3f-8283-a36e3e758f48,41
f22fb877-2b27-4621-8c12-3567940d91c2,19
dadcb47d-315b-4438-bcba-353864446e32,3
75d00ad0-7476-48c2-a47c-ff6d8246f454,13
468de7df-71fd-4601-8ae4-52f0d3ad3791,7
3941d27d-b254-4746-8247-b1ad1b7d47c7,19
e209d010-12a8-465e-a56e-6b408a8e3e1e,28
687c873e-4e01-490d-8989-d40d044847c0,28
d4f4c6d9-b18d-4cb2-b6f7-e113cc17cb6c,19
d2062ed2-d1cb-4181-aaa6-713beedfc51a,3
0f305673-900b-41cf-8a30-3d3c3fb36177,7
4db6c047-c45d-4486-81dd-b590f743bc46,7
0c1405fc-1da1-464d-b4e9-fad164488f89,4
041643fc-0d7c-435c-ba92-020873f85df3,9
459e2d3c-c2e2-4ef6-9e91-ce9e2258c321,4
d2e5c7e1-2929-4b06-975a-d6108abd3762,25
